12:56:04 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
12:56:04 PM | Info | 'Socket setup successful' | 
12:57:32 PM | Info | 'Socket setup successful' | 
12:57:32 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:02:53 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:02:53 PM | Info | 'Socket setup successful' | 
1:13:00 PM | Info | 'Socket setup successful' | 
1:13:00 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:16:05 PM | Info | 'Socket setup successful' | 
1:16:05 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:20:34 PM | Info | 'Socket setup successful' | 
1:20:34 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:43:32 PM | Info | 'Socket setup successful' | 
1:43:32 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
1:47:28 PM | Info | 'Socket setup successful' | 
1:47:28 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
