11:33:23 AM | Info | 'Connected to db' | 
11:33:23 AM | Info | 'Socket setup successful' | 
11:33:23 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:35:05 AM | Info | 'Connected to db' | 
11:35:05 AM | Info | 'Socket setup successful' | 
11:35:05 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:35:37 AM | Info | 'Connected to db' | 
11:35:37 AM | Info | 'Socket setup successful' | 
11:35:37 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:39:44 AM | Info | 'Connected to db' | 
11:39:44 AM | Info | 'Socket setup successful' | 
11:39:44 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
11:56:40 AM | Info | 'Connected to db' | 
11:56:40 AM | Info | 'Socket setup successful' | 
11:56:40 AM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
10:56:59 PM | Info | '> Ready on XXXXXXXXXXXXXXXX:3000' | 
10:56:59 PM | Info | 'Connected to db' | 
10:56:59 PM | Info | 'Socket setup successful' | 
